iteration,coherence,entropy,energy,curvature,clusters,correlation,magnetization,susceptibility
0,0.42440972222222223,1.5397752532530027,19234.0,0.6678472222222223,236,0.1226388888888889,-0.04048611111111111,4.559797995446232
1,0.46774305555555556,1.554529114192003,17370.0,0.603125,279,0.20430555555555555,-0.06409722222222222,4.771857377976068
2,0.49368055555555557,1.5715361378109147,16478.0,0.5721527777777777,274,0.2742013888888889,-0.08416666666666667,5.15851604014411
3,0.5200694444444445,1.5734211553555566,15718.0,0.5457638888888889,243,0.3324652777777778,-0.103125,5.504502378568142
4,0.5450694444444445,1.5634561619995342,14936.0,0.5186111111111111,175,0.38756944444444447,-0.12166666666666667,5.797891499052321
5,0.5736111111111111,1.5457755152412473,14118.0,0.49020833333333336,142,0.4348263888888889,-0.13958333333333334,6.035503812931191
6,0.6031944444444445,1.5241806224707801,13292.0,0.46152777777777776,106,0.4766666666666667,-0.15368055555555554,6.237740224014081
7,0.6254861111111111,1.4986199919082268,12708.0,0.44125,86,0.5100694444444445,-0.1684027777777778,6.408872092668262
8,0.6462152777777778,1.4737961843077372,12112.0,0.42055555555555557,69,0.5403819444444444,-0.18145833333333333,6.537474094544584
9,0.6641666666666667,1.4547919361623167,11502.0,0.399375,60,0.5667013888888889,-0.19395833333333334,6.602534316264957
10,0.6826736111111111,1.4307056117947052,10946.0,0.38006944444444446,59,0.5922916666666667,-0.20548611111111112,6.6903184355536744
11,0.6923611111111111,1.4170759385084049,10630.0,0.36909722222222224,54,0.6062152777777777,-0.21458333333333332,6.718079143321955
12,0.7030902777777778,1.4019769138071494,10288.0,0.3572222222222222,51,0.6209375,-0.22375,6.748252502988401
13,0.7129861111111111,1.3861312298221178,9950.0,0.3454861111111111,48,0.6364236111111111,-0.23222222222222222,6.780874562670825
14,0.7238194444444445,1.36920566901987,9652.0,0.3351388888888889,45,0.6488194444444444,-0.2415972222222222,6.808093302861879
15,0.7347222222222223,1.3537826205766694,9324.0,0.32375,43,0.6617361111111111,-0.24958333333333332,6.83153884597258
16,0.7434722222222222,1.3403275251528823,9058.0,0.31451388888888887,41,0.6723958333333333,-0.25666666666666665,6.847952192990985
17,0.7516666666666667,1.3259118622956527,8810.0,0.3059027777777778,43,0.6828125,-0.26416666666666666,6.86285368918222
18,0.7570833333333333,1.3188407401280822,8604.0,0.29875,43,0.6903472222222222,-0.27,6.855405834581006
19,0.7632638888888889,1.3090259058342235,8400.0,0.2916666666666667,41,0.698125,-0.27652777777777776,6.8534535296053605
20,0.7676388888888889,1.300961781978303,8248.0,0.2863888888888889,40,0.7042361111111111,-0.28229166666666666,6.8480241686643355
21,0.7709722222222222,1.2943047865107085,8148.0,0.28291666666666665,41,0.7082638888888889,-0.2866666666666667,6.845220734271657
22,0.7763541666666667,1.2852514434097522,7956.0,0.27625,37,0.7158680555555555,-0.2920138888888889,6.84431888832768
23,0.7798611111111111,1.2821582729516368,7804.0,0.2709722222222222,36,0.720625,-0.29680555555555554,6.823700691125929
24,0.7847222222222222,1.2745442609878788,7652.0,0.26569444444444446,36,0.7261805555555556,-0.3009722222222222,6.823777850976757
25,0.7898263888888889,1.2663190677211114,7516.0,0.2609722222222222,37,0.7310069444444445,-0.30451388888888886,6.8296344042168995
26,0.7932291666666667,1.2590511749618452,7444.0,0.2584722222222222,35,0.7337847222222222,-0.30777777777777776,6.83323523744298
27,0.7960069444444444,1.2512501731561319,7358.0,0.25548611111111114,35,0.7379861111111111,-0.3115277777777778,6.8347152598316825
28,0.7986458333333334,1.2443253685311695,7268.0,0.2523611111111111,34,0.7421180555555555,-0.31527777777777777,6.832488715886214
29,0.8032291666666667,1.2396924205299626,7080.0,0.24583333333333332,34,0.7485069444444444,-0.3186805555555556,6.824349918933288
30,0.8062847222222222,1.2325288073350702,6996.0,0.24291666666666667,35,0.7519097222222222,-0.32256944444444446,6.820929808545321
31,0.8082638888888889,1.22899709471142,6940.0,0.24097222222222223,34,0.75375,-0.325,6.815336724045818
32,0.8074652777777778,1.2280735764109092,6922.0,0.2403472222222222,33,0.7552777777777778,-0.3277083333333333,6.798869485694103
33,0.8111458333333333,1.2231763326731575,6802.0,0.23618055555555556,32,0.7592361111111111,-0.33034722222222224,6.795972454794869
34,0.8134375,1.218584394222802,6736.0,0.2338888888888889,33,0.7616319444444445,-0.3329861111111111,6.791801964857598
35,0.8167708333333333,1.2120305974865655,6624.0,0.23,33,0.7662152777777778,-0.33520833333333333,6.79678906321614
36,0.820625,1.2052188047812478,6502.0,0.22576388888888888,33,0.7707291666666667,-0.33805555555555555,6.797597031341609
37,0.8205555555555556,1.2023078024189795,6516.0,0.22625,33,0.7706944444444445,-0.34034722222222225,6.789849820631638
38,0.8216666666666667,1.2017958512065572,6432.0,0.22333333333333333,33,0.7736111111111111,-0.34291666666666665,6.77232637644686
39,0.8234722222222223,1.2014740349248383,6356.0,0.22069444444444444,33,0.7756944444444445,-0.34381944444444446,6.766581303116198
40,0.8276736111111112,1.1936516191492923,6238.0,0.21659722222222222,33,0.7800694444444445,-0.34625,6.772858779417578
41,0.8307291666666666,1.1873649462666966,6148.0,0.21347222222222223,33,0.7835763888888889,-0.3484027777777778,6.776021810865053
42,0.8310069444444445,1.1868934146307097,6146.0,0.21340277777777777,33,0.7834027777777778,-0.34923611111111114,6.771177136731167
43,0.8325,1.1841990873824917,6086.0,0.21131944444444445,33,0.7856597222222222,-0.35097222222222224,6.766255182184183
44,0.8340277777777778,1.1798843565161765,6042.0,0.20979166666666665,33,0.7876736111111111,-0.3525,6.767715593110799
45,0.8364583333333333,1.1762267759569343,5962.0,0.2070138888888889,33,0.7903819444444444,-0.3541666666666667,6.766002644422407
46,0.8343402777777778,1.178610629860681,6000.0,0.20833333333333334,32,0.7895486111111111,-0.3547222222222222,6.75461899443019
47,0.8361111111111111,1.1757146972126704,5930.0,0.20590277777777777,32,0.7920486111111111,-0.3567361111111111,6.747887400256748
48,0.8367013888888889,1.175931823529441,5902.0,0.20493055555555556,32,0.7927083333333333,-0.35736111111111113,6.742432078240912
49,0.8364930555555555,1.1746844274569068,5910.0,0.20520833333333333,31,0.7928472222222223,-0.3578472222222222,6.742428340810637
50,0.840625,1.1665202609622485,5814.0,0.201875,31,0.7962847222222222,-0.35944444444444446,6.754292994060441
51,0.8386111111111111,1.1701205575342604,5840.0,0.20277777777777778,32,0.7954861111111111,-0.3603472222222222,6.736725263336283
52,0.8397222222222223,1.1679795621190332,5796.0,0.20125,32,0.7971527777777778,-0.3616666666666667,6.732837411540092
53,0.8399305555555555,1.1687624904352347,5790.0,0.20104166666666667,31,0.7969791666666667,-0.3616666666666667,6.730522616015238
54,0.8423611111111111,1.1644153816257206,5726.0,0.19881944444444444,31,0.7992013888888889,-0.36270833333333335,6.7352299697271025
55,0.8430902777777778,1.163139402734885,5702.0,0.1979861111111111,31,0.8000694444444445,-0.36319444444444443,6.735182910255582
56,0.8430555555555556,1.162421238728243,5716.0,0.19847222222222222,31,0.7995833333333333,-0.3634027777777778,6.735657563900445
57,0.8440277777777778,1.1592959078906242,5682.0,0.19729166666666667,30,0.8012847222222222,-0.36430555555555555,6.737706037377671
58,0.8453472222222222,1.157678281057616,5636.0,0.19569444444444445,30,0.8027083333333334,-0.3653472222222222,6.7342657930911285
59,0.8445486111111111,1.1606301810283965,5654.0,0.19631944444444444,30,0.8014583333333334,-0.3657638888888889,6.722468051899466
60,0.8437152777777778,1.1625218733244058,5664.0,0.19666666666666666,30,0.8010069444444444,-0.36625,6.713137054876393
61,0.8442361111111111,1.1605174497045336,5646.0,0.19604166666666667,30,0.8019097222222222,-0.3672916666666667,6.710820450917537
62,0.8452083333333333,1.158347890586533,5612.0,0.19486111111111112,30,0.8032638888888889,-0.3682638888888889,6.7094907294882615
63,0.8454861111111112,1.1568185268612432,5618.0,0.19506944444444443,30,0.8030902777777778,-0.3688194444444444,6.709550528372657
64,0.8469791666666666,1.154154556216759,5574.0,0.19354166666666667,30,0.8046527777777778,-0.3695833333333333,6.7112157745907695
65,0.8467708333333334,1.1550350383277908,5570.0,0.19340277777777778,30,0.8047222222222222,-0.3697916666666667,6.707038653728813
66,0.8465625,1.153974551101253,5572.0,0.1934722222222222,30,0.8050347222222223,-0.3705555555555556,6.704061931171149
67,0.8468402777777778,1.155578876695324,5560.0,0.19305555555555556,30,0.8048263888888889,-0.3705555555555556,6.6994323401214455
68,0.8473611111111111,1.1543605043961602,5538.0,0.19229166666666667,30,0.8057291666666667,-0.37125,6.697454315195522
